,code,date,zdt,preclose,open,high,low,close,vol,pre2_price,pre3_price,pre5_price,pre10_price,pre15_price,pre30_price,pre3_ema_price,pre5_ema_price,pre10_ema_price,pre15_ema_price,pre30_ema_price,pre3_ema_vol,pre5_ema_vol,pre10_ema_vol,pre15_ema_vol,pre30_ema_vol,dapan,pre0_lasheng_rat,pre1_lasheng_rat,pre3_lasheng_rat,dadan_rat
3739,SZ300252,2018-03-27,涨停,50.9907,51.4074,56.1049,51.4074,56.1049,2616500.0,49.6269,54.9306,56.5217,56.2565,56.8626,41.9745,52.27875,53.780048148148154,54.40984429374912,54.989473809792344,51.53885444664404,1808465.0,1810390.740740741,1702935.8431927527,2047812.6445117462,1773825.613199648,1.0507313667262,0.33875338753388,0.67865821418242,0.543019437286734,0.04336435548448265
3740,SZ300254,2018-03-28,非涨跌停,14.4649,14.3907,15.9188,14.2424,15.1325,10600100.0,14.0792,13.5599,14.1979,13.6193,13.0555,11.8686,13.81955,14.075888888888892,13.997405687884234,13.850608059329774,13.308824289812266,1815300.0,1701307.4074074076,1737637.1157337767,1541876.353637049,1572870.736102824,-1.4008183414076,0.37418147801684,2.28075917105784,3.04814579226338,0.08648291053949222
3741,SZ300254,2018-04-04,非涨跌停,14.5391,14.7468,15.993,14.7468,14.9693,9019580.0,14.4946,14.7468,15.1325,14.1979,13.6193,12.017,14.6207,14.750644444444445,14.468629895163986,14.290470461798053,13.712758444590857,3100060.0,5635629.25925926,3527771.4796275217,3154705.1672304263,2288826.576604259,-0.17604864834362,0.0,2.8846153846153997,2.5979010392645296,0.0890197611223465
3742,SZ300256,2017-11-27,非涨跌停,28.2739,28.1516,31.086,28.1516,29.9551,4865220.0,28.4879,29.6494,29.0686,27.9988,28.9769,30.5358,29.068649999999998,29.035803703703706,28.50856841787954,28.655604710506665,29.057822357932974,3104810.0,3571233.7037037043,3054254.650079368,2684057.718568932,2917591.014447583,-0.9419405507926599,0.5958291956305899,2.31300091280229,1.81008391331795,0.048419524555520815
3743,SZ300256,2018-02-14,涨停,17.6979,19.4708,19.4708,19.4708,19.4708,2208910.0,18.8289,19.9293,23.2305,26.7762,26.5316,27.7543,19.3791,20.68553703703704,23.111817714444026,23.987751486601148,25.334495743288556,5980025.0,4981236.296296297,3534828.3115536505,3122095.900087003,2467989.177630631,0.44584561371121006,10.017271157168,0.0,0.0,0.0
3744,SZ300257,2017-12-12,非涨跌停,93.9163,94.6111,103.327,93.8532,98.4006,1604610.0,94.6742,95.4321,95.1795,98.8427,101.369,110.337,95.05315,95.17948148148149,96.77634116287673,97.57035438929356,101.96382421989988,199056.5,264345.7407407408,308749.58470907476,368211.01669848466,369091.74122273014,-1.2456218717981,1.9962570180911001,1.56147440939545,3.64541913500264,0.1100558910208619
3745,SZ300259,2018-03-28,涨停,58.1814,56.9824,63.9869,56.9824,63.9869,1747100.0,55.7834,54.4583,59.0648,59.1279,57.5503,52.502,55.120850000000004,56.83515555555556,58.036958926839596,58.30158978541303,57.286577748446106,338910.5,299760.37037037045,350519.31694927526,337626.1645563161,326654.0946874023,-1.4008183414076,5.0777202072539005,6.3369017392581,6.65871262239815,0.13352294056900724
3746,SZ300260,2018-03-05,涨停,37.4563,37.4563,41.2111,37.2732,41.2111,1069260.0,37.4563,36.4184,34.9837,32.8163,34.3731,,36.937349999999995,36.280485185185185,35.01502439295388,34.62344554883593,,198325.0,258790.8518518519,201317.6798776067,239321.9027670674,,0.07368195941163001,0.37174721189591,1.2719722681599799,1.79930785485064,0.023503580518504284
3747,SZ300263,2017-11-14,非涨跌停,69.3031,69.9615,76.2169,69.55,72.9246,10301200.0,65.1877,66.1754,65.8462,65.8462,72.6777,,65.68155,65.6266851851852,65.20494812211489,66.84841916779341,,2392680.0,2564675.9259259263,2404849.292754518,2954301.8474559137,,-0.53041966033187,2.547065337763,3.6668861664304,3.44342247927956,0.06630441906029888
3748,SZ300264,2017-11-08,非涨跌停,31.336,31.1704,34.482,31.1704,32.9918,2077220.0,31.5843,31.4188,31.9983,32.4536,32.3708,,31.50155,31.651803703703706,31.795563524706022,31.871743732649875,,453142.0,454609.7037037038,455270.5019291129,473236.38816217927,,0.055220699706325996,4.6599496221662005,4.91247487469145,4.66042688551665,0.032421079197104026
